"","LAKEID","LONGITUDE_DD","LATITUDE_DD","Area_ha"
"143","L44046",-84.35806,47.10861,99.6
"144","L55059",-79.41389,45.53111,1187
"145","L25066",-89.5425,48.76389,14804.3
"146","L47091",-84.11611,48.30306,5184
"147","L14068",-93.90583,49.37472,1994.4
"148","L14069",-94.18194,49.71778,2727.7
"149","L45056",-80.51528,46.80167,498.2
"150","L11050",-92.82806,49.62583,997.8
"151","L56154",-77.11528,45.6175,1466.6
"152","L53102",-78.99083,45.46167,152.8
"153","L21049",-92.04,48.88,794.8
"154","L14070",-94.71667,50.62,198.5
"155","L14072",-93.83667,49.52917,10905
"156","L33051",-81.08639,47.87472,173.2
"157","L73015",-78.09333,44.52639,176.2
"158","L36079",-80.965,47.75583,1131.1
"159","L41092",-83.05222,46.72111,150.1
"160","L53108",-79.50083,45.83278,990.5
"161","L66065",-76.7025,44.67972,661.6
"162","L47099",-84.6825,47.82472,60.5
"163","L16069",-92.23972,54.52056,5326.6
"164","L11054",-93.54944,49.94917,536.2
"165","L52083",-78.12639,44.88611,945.8
"166","L66067",-77.36028,44.985,125.5
"167","L23036",-87.79333,50.12972,321.5
"168","L47103",-85.39806,48.14556,63.3
"169","L12053",-92.41333,49.00556,2401.4
"170","L43049",-80.32333,46.91583,566.6
"171","L25078",-90.25444,49.71917,677.1
"172","L41099",-83.03,46.58944,591.7
"173","L12054",-92.68361,49.13528,1610.6
"174","L21058",-91.17806,48.71333,1707.8
"175","L16075",-91.78333,50.34083,852.1
"176","L21060",-92.06472,48.70056,629.7
"177","L81003",-81.17556,43.05722,217.2
"178","L63034",-76.49861,44.75722,172.3
"179","L21061",-91.58944,48.90917,1455.3
"180","L16084",-90.53694,50.61806,1095.6
"181","L31062",-83.17667,47.28833,161.7
"182","L53129",-78.78111,45.35389,255.8
"183","L38058",-81.89722,48.60472,102.6
"184","L54070",-78.7375,44.68167,786.2
"185","L23045",-87.89694,50.16361,481.8
"186","L32071",-80.93806,48.66056,3877.7
"187","L47122",-84.76556,47.6575,195.2
"188","L44060",-83.70722,46.76361,157.4
"189","L44061",-84.01194,47.10361,120.3
"190","L41198",-82.48694,46.53028,88.2
"191","L83048",-81.33556,45.20556,214.1
"192","L55076",-80.50667,45.71389,115.5
"193","L71020",-79.70111,44.84722,1376.6
"194","L11076",-92.76139,49.60778,261.6
"195","L56106",-77.32472,45.56556,3552.2
"196","L44063",-83.53611,47.07,384.5
"197","L54077",-78.64944,45.255,54.2
"198","L44065",-83.67222,47.16333,271.7
"199","L66086",-76.79694,45.13306,125.5
"200","L44066",-83.82028,47.14472,112.5
"201","L16101",-90.09139,50.95611,2870.6
"202","L25097",-90.41861,48.57917,3060.3
"203","L25100",-90.12194,49.40639,272.7
"204","L21072",-92.08361,49.02472,1297.8
"205","L44069",-84.40333,47.08556,147.1
"206","L35055",-82.36139,49.75528,758.6
"207","L44114",-83.63444,47.22472,128.7
"208","L11081",-92.59139,49.91167,2426.8
"209","L55083",-80.54583,45.93,74.9
"210","L34089",-84.69444,49.10389,97.1
"211","L64033",-76.68389,44.46806,89.5
"212","L44070",-83.88778,47.11278,129.5
"213","L46102",-79.89222,46.81917,329.8
"214","L25108",-90.23389,49.94389,2823.4
"215","L11082",-92.45,49.74972,505.7
"216","L14112",-94.00111,49.77417,892
"217","L25112",-89.44667,48.68722,435.8
"218","L45094",-81.09806,47.01889,342
"219","L34094",-85.01194,49.51528,156.4
"220","L16116",-91.50972,50.3525,135.5
"221","L25121",-89.67556,49.65417,2254.3
"222","L25122",-90.08778,49.43972,305.2
"223","L31089",-82.32639,47.97694,5545.8
"224","L32097",-80.72111,49.41583,98.1
"225","L22105",-87.96667,51.14306,535.6
"226","L13072",-91.66611,49.54889,3962.8
"227","L31091",-82.12667,47.12694,1901.8
"228","L38045",-81.60028,48.03556,50.2
"229","L21081",-91.60833,49.12444,1429
"230","L36142",-80.58889,47.51333,115.4
"231","L31093",-82.62694,48.08278,1013.8
"232","L52119",-78.02472,44.69389,1221.3
"233","L25133",-90.32889,48.35194,168.7
"234","L21119",-91.70278,48.54278,1468.2
"235","L16132",-92.13611,51.08972,1733.2
"236","L25136",-89.45917,49.16778,96.9
"237","L53203",-79.73028,45.17639,5155.6
"238","L12089",-93.39667,49.05528,2147.1
"239","L14138",-93.83722,49.21472,11185.7
"240","L33087",-81.39278,47.175,89.1
"241","L56144",-77.69639,45.42417,2908.8
"242","L31096",-82.94472,48.48361,1870.7
"243","L25143",-90.39972,48.71028,2289.6
"244","L66109",-77.03944,44.85889,1219.3
"245","L33094",-81.97583,47.90917,247.6
"246","L73020",-78.25667,44.45917,350.9
"247","L12093",-93.71444,49.12222,1032
"248","L13076",-90.18583,50.19944,3547.9
"249","L13077",-91.47333,49.23694,362.2
"250","L25145",-90.01194,49.50861,905.9
"251","L25148",-90.20111,48.52056,546.4
"252","L56146",-77.32444,45.70444,54.2
"253","L22098",-86.87917,49.69111,4165.2
"254","L38094",-81.55,48.18389,2608.9
"255","L32110",-80.23028,50.37278,17120
"256","L23073",-87.89639,49.24306,97.8
"257","L53197",-78.67917,45.34083,212.5
"258","L41151",-83.09139,46.65889,1097.5
"259","L22102",-85.86278,49.80194,830.1
"260","L46141",-80.03444,47.08694,493.7
"261","L13083",-91.68611,49.77194,4128.8
"262","L47177",-84.58222,47.43889,221.1
"263","L47178",-85.33222,48.80778,811.3
"264","L46143",-80.19611,47.30944,6262.9
"265","L53206",-79.0025,45.25583,6904.1
"266","L42121",-81.66722,46.165,595.9
"267","L36226",-79.64361,48.08556,3703.7
"268","L41177",-82.82556,46.21417,2242
"269","L32191",-80.07944,49.83194,2551.8
"270","L12104",-93.37306,49.2675,1870.7
"271","L47205",-84.68306,48.05111,91.5
"272","L21114",-92.37389,48.29833,298.4
"273","L15100",-92.86528,53.85306,477.4
"274","L33137",-81.09222,47.1325,105.2
"275","L41081",-83.13167,46.35694,637.4
"276","L11112",-93.76306,49.89278,176
"277","L32199",-80.27667,49.74917,513.3
"278","L71030",-79.715,44.81778,436.6
"279","L71029",-79.67111,44.42667,188.3
"280","L73024",-78.30944,44.2975,79
"281","L13106",-91.53944,49.44917,216.7
"282","L12111",-92.69917,48.79111,2225
"283","L15103",-93.84,51.27639,5636.4
"284","L31192",-83.82833,47.84722,514.2
"285","L25180",-90.12333,49.44667,425.3
"286","L11095",-92.34222,49.44972,1834.7
"287","L22112",-86.89056,49.475,12820.4
"288","L71036",-79.49472,44.78944,158.6
"289","L14151",-94.30722,49.71972,681.5
"290","L15105",-94.17417,50.78389,6915.5
"291","L12112",-93.50361,49.01222,2070.4
"292","L21127",-91.31917,48.15639,717.9
"293","L73029",-78.23361,44.55722,257.2
"294","L73030",-78.26806,44.55639,1233.6
"295","L12115",-92.96833,49.26472,8284.8
"296","L34175",-83.79278,48.89889,251.1
"297","L45151",-81.62,47.08917,116.5
"298","L23086",-89.46528,50.10056,118.7
"299","L33153",-81.8375,47.73861,169.6
"300","L46189",-80.42972,47.44833,2021.5
"301","L14157",-95.00611,49.89028,1083.8
"302","L44126",-84.61611,47.03278,143.7
"303","L13109",-91.82111,49.55306,5309.7
"304","L12121",-92.31556,48.91139,1197.9
"305","L16169",-91.40667,50.18833,3595.6
"306","L25192",-88.80139,48.3825,774.6
"307","L21134",-91.54722,48.875,10515.7
"308","L41207",-82.91778,46.38778,3566.6
"309","L21137",-91.93917,48.30056,845
"310","L47236",-84.13361,47.645,91.9
"311","L41213",-82.71667,46.3025,305.9
"312","L22128",-86.43806,49.61333,3131.6
"313","L55149",-79.93361,45.51361,85.5
"314","L51208",-78.02306,45.36417,311.6
"315","L31205",-83.39694,47.71972,72.8
"316","L44133",-83.80278,46.53417,219.1
"317","L44135",-83.52333,47.24,620.3
"318","L21142",-91.11667,48.81611,1473.1
"319","L33161",-81.87889,47.64806,1706.2
"320","L25200",-90.46944,49.72833,2029.5
"321","L47249",-84.71056,47.69333,588.6
"322","L16183",-90.54222,50.77083,1561.1
"323","L16184",-90.83833,50.82,6314.3
"324","L56200",-77.04861,45.56472,542
"325","L31211",-83.69139,48.35667,7706.9
"326","L63077",-76.16583,45.06694,2351.4
"327","L36280",-80.73694,47.93139,1357.1
"328","L66160",-77.45194,44.48556,822.7
"329","L32238",-80.79417,49.55139,486.5
"330","L12133",-92.17972,49.01306,1081.3
"331","L42158",-82.08361,46.93861,1520.4
"332","L56213",-77.81139,45.66111,68.8
"333","L38200",-81.30444,48.09472,632
"334","L25215",-90.05167,49.01722,3473.6
"335","L53205",-79.475,45.05361,12205.8
"336","L43113",-80.04667,46.49139,302.8
"337","L56214",-76.91222,45.6825,1201.6
"338","L34193",-85.04194,49.42194,5362.5
"339","L34194",-84.65722,49.47722,2331.1
"340","L47274",-84.71583,48.76833,1321.1
"341","L25218",-90.52778,48.46083,707.9
"342","L31217",-83.11028,48.00611,1803.2
"343","L38201",-80.97583,48.47278,9832.2
"344","L33181",-81.85778,47.30472,83.3
"345","L13154",-91.84417,49.205,1592.6
"346","L53319",-79.19694,45.72139,52.6
"347","L47282",-85.48556,48.39444,109.6
"348","L15186",-92.91028,52.51278,6602.5
"349","L25226",-90.67917,48.25111,6869.8
"350","L43075",-79.20889,46.2025,1704.5
"351","L15187",-93.55778,51.47,6277.8
"352","L21158",-91.45639,48.68556,1838.1
"353","L23107",-89.30722,49.98278,3578.4
"354","L12150",-93.82472,48.90056,458.9
"355","L46215",-80.76222,47.46528,97.9
"356","L14200",-94.2225,50.03278,157.5
"357","L47293",-84.72444,47.6225,261.3
"358","L23110",-87.43583,50.00472,10838
"359","L15194",-94.2675,50.9375,161.9
"360","L33188",-81.35944,47.19444,112.5
"361","L16241",-91.85306,50.84139,1513.9
"362","L21163",-91.15028,48.195,178.4
"363","L12154",-92.86333,48.96167,5165.8
"364","L25232",-90.27167,49.35556,4737.1
"365","L15202",-93.48139,50.75056,9825
"366","L66178",-76.84194,45.01611,539.1
"367","L23119",-87.62306,49.45639,1574.9
"368","L16247",-90.30083,50.98278,6606.4
"369","L52207",-78.055,44.96361,754.7
"370","L14203",-94.86167,49.85556,1108.8
"371","L13165",-91.18778,49.95139,1441.3
"372","L44156",-83.50306,46.83667,176
"373","L21170",-91.84472,48.74694,703.5
"374","L11173",-93.14056,50.29111,3263.5
"375","L12161",-92.26722,48.95194,1197.1
"376","L14207",-94.87083,49.79444,577.1
"377","L21171",-91.44444,48.62472,6058.8
"378","L53341",-79.305,45.68306,513
"379","L73037",-78.495,44.47083,5344.4
"380","L15211",-94.00889,51.8075,5826.1
"381","L12168",-93.55417,49.09111,3890.7
"382","L34115",-84.83389,49.02694,131
"383","L45204",-81.83583,46.96778,1587.2
"384","L44162",-83.82528,47.11917,75.4
"385","L41249",-82.545,46.44417,56.4
"386","L14211",-93.6125,49.50694,665.6
"387","L14212",-93.84611,49.72583,533.1
"388","L13171",-91.485,49.79222,3617.9
"389","L12171",-93.35111,49.35028,289.1
"390","L23129",-88.42083,49.15194,246.1
"391","L44165",-84.61722,47.16389,109.6
"392","L44166",-83.90194,47.15694,131.5
"393","L46234",-79.64417,46.99528,2106
"394","L38218",-80.75778,48.20528,543.5
"395","L44170",-83.55667,46.89944,2254.1
"396","L41261",-82.615,46.655,968.4
"397","L45209",-80.56694,46.92,158.6
"398","L43147",-79.93722,46.7125,2421.7
"399","L57055",-78.70167,45.20444,383.9
"400","L46238",-80.02417,47.16028,387.3
"401","L54178",-78.53806,45.18306,1130.3
"402","L46241",-79.71694,47.21806,682
"403","L31243",-82.13472,47.68778,2522.3
"404","L73039",-78.17639,44.17194,10017.8
"405","L25261",-90.15056,49.09556,274.6
"406","L16269",-92.06194,50.16806,190.4
"407","L25262",-89.43778,49.18194,134.8
"408","L44173",-83.7725,46.43472,1028.7
"409","L31249",-82.64889,47.88278,983.8
"410","L53207",-79.585,45.17389,6374.4
"411","L41275",-82.77889,46.33889,115.6
"412","L36334",-80.03806,48.01611,1213
"413","L56250",-77.52778,45.6425,3068.8
"414","L14226",-93.56,49.31972,5471
"415","L25268",-90.31306,49.87,507.8
"416","L11190",-92.96333,49.95778,984.4
"417","L42183",-81.91306,46.73472,174
"418","L44178",-83.78583,46.95306,110.5
"419","L52232",-77.81333,45.19,99.6
"420","L47331",-84.52611,47.72528,328.3
"421","L32286",-80.71194,49.74667,130.1
"422","L61054",-76.26167,44.56833,828.1
"423","L12176",-92.19889,48.95611,681.5
"424","L21193",-91.69167,49.11083,2921.7
"425","L23134",-89.69111,50.11333,272.7
"426","L25270",-90.23556,48.23528,935.2
"427","L16274",-90.42722,50.48222,12041.3
"428","L13190",-91.00972,49.27611,548.8
"429","L12179",-93.60083,49.15417,344.7
"430","L21220",-91.15444,49.17389,1291.6
"431","L33216",-81.37833,47.06861,827.2
